Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Günsberg;4524;0;Günsberg;SO;2610393;1234335
Güttingen;8594;0;Güttingen;TG;2738941;1274074
Haag (Rheintal);9469;0;Sennwald;SG;2755541;1231060
Habkern;3804;0;Habkern;BE;2632280;1175213
Habsburg;5245;0;Habsburg;AG;2656352;1257006
Hagenbuch ZH;8523;0;Hagenbuch;ZH;2708928;1264544
Hagendorn;6332;0;Cham;ZG;2675402;1228182
Hagenwil b. Amriswil;8580;5;Amriswil;TG;2740701;1265974
Hagneck;2575;2;Hagneck;BE;2580741;1211830
Halden;9223;1;Bischofszell;TG;2733213;1263031
Haldenstein;7023;0;Haldenstein;GR;2758787;1194116
Haldi b. Schattdorf;6469;0;Schattdorf;UR;2694274;1190820
Hallau;8215;0;Hallau;SH;2676808;1283048
Hallwil;5705;0;Hallwil;AG;2655976;1242260
Halten;4566;2;Halten;SO;2612863;1224332
Happerswil;8585;2;Birwinken;TG;2734550;1271355
Harenwilen;8553;2;Hüttlingen;TG;2717514;1270020
Hasle LU;6166;0;Hasle (LU);LU;2646653;1203073
Hasle b. Burgdorf;3415;1;Hasle bei Burgdorf;BE;2616002;1206939
Haslen AI;9054;0;Schlatt-Haslen;AI;2745873;1248312
Haslen GL;8773;0;Glarus Süd;GL;2723355;1204565
Hasliberg Goldern;6085;0;Hasliberg;BE;2657955;1176620
Hasliberg Hohfluh;6083;0;Hasliberg;BE;2656233;1178136
Hasliberg Reuti;6086;0;Hasliberg;BE;2659414;1175961
Hasliberg Wasserwendi;6084;0;Hasliberg;BE;2658188;1177629
Hattenhausen;8564;7;Wäldi;TG;2722543;1276257
Hauenstein;4633;0;Hauenstein-Ifenthal;SO;2632523;1247274
Hauptikon;8926;2;Kappel am Albis;ZH;2679934;1231827
Hauptwil;9213;0;Hauptwil-Gottshaus;TG;2736760;1260539
Hausen AG;5212;0;Hausen (AG);AG;2657766;1257023
Hausen am Albis;8915;0;Hausen am Albis;ZH;2682334;1233279
Haute-Nendaz;1997;0;Nendaz;VS;2588723;1114526
Hauterive NE;2068;0;Hauterive (NE);NE;2564494;1207055
Hauteville;1648;0;Hauteville;FR;2574338;1168912
Hedingen;8908;0;Hedingen;ZH;2675716;1239365
Heerbrugg;9435;0;Au (SG);SG;2765129;1253641
Hefenhausen;8564;0;Wäldi;TG;2722547;1275260
Hefenhofen;8580;7;Hefenhofen;TG;2740441;1269892
Heiden;9410;0;Heiden;AR;2757523;1256692
Heiligenschwendi;3625;0;Heiligenschwendi;BE;2618386;1177826
Heiligkreuz (Mels);8888;0;Mels;SG;2749891;1214034
Heimberg;3627;0;Heimberg;BE;2612294;1182501
Heimenhausen;3373;2;Heimenhausen;BE;2619643;1229217
Heimenschwand;3615;0;Buchholterberg;BE;2619595;1186242
Heimisbach;3453;0;Trachselwald;BE;2625101;1206805
Heimiswil;3412;0;Heimiswil;BE;2616785;1212426
Heinrichswil;4558;2;Drei Höfe;SO;2614560;1222938
Heitenried;1714;0;Heitenried;FR;2589320;1186538
Heldswil;9216;0;Hohentannen;TG;2734426;1265856
Helgisried-Rohrbach;3155;0;Rüeggisberg;BE;2598912;1184845
Hellbühl;6016;0;Neuenkirch;LU;2657591;1213513
Hellikon;4316;0;Hellikon;AG;2636019;1262127
Hellsau;3429;3;Hellsau;BE;2616165;1221671
Hemberg;9633;0;Hemberg;SG;2731296;1240156
Hemishofen;8261;0;Hemishofen;SH;2704262;1281815
Hemmental;8231;0;Schaffhausen;SH;2685954;1287765
Hemmiken;4465;0;Hemmiken;BL;2633876;1259977
Henau;9247;0;Uzwil;SG;2726784;1257297
Hendschiken;5604;0;Hendschiken;AG;2658696;1248487
Henggart;8444;0;Henggart;ZH;2693965;1268506
Hennens;1681;2;Billens-Hennens;FR;2557610;1170364
Henniez;1525;0;Henniez;VD;2557617;1176838
Herbetswil;4715;0;Herbetswil;SO;2611319;1238135
Herbligen;3671;2;Herbligen;BE;2612936;1186254
Herbriggen;3927;0;St. Niklaus;VS;2627604;1109445
Herdern;8535;0;Herdern;TG;2710862;1273560
Hergiswil NW;6052;0;Hergiswil (NW);NW;2665843;1204372
Hergiswil b. Willisau;6133;0;Hergiswil bei Willisau;LU;2638811;1214777
Herisau;9100;0;Herisau;AR;2738299;1250101
Herlisberg;6028;0;Römerswil;LU;2660020;1227616
Hermance;1248;0;Hermance;GE;2507994;1128477
Hermenches;1513;0;Hermenches;VD;2548056;1165854
Hermetschwil-Staffeln;5626;0;Bremgarten (AG);AG;2668248;1242552
Hermiswil;3475;1;Hermiswil;BE;2619864;1222806
Hermrigen;3274;0;Hermrigen;BE;2585035;1214535
Herrenhof;8585;8;Langrickenbach;TG;2735727;1273470
Herrenschwanden;3037;0;Kirchlindach;BE;2598361;1202831
Herrliberg;8704;0;Herrliberg;ZH;2689399;1238712
Hersberg;4423;0;Hersberg;BL;2625875;1260127
Hersiwil;4558;0;Drei Höfe;SO;2614871;1223884
Hertenstein AG;5415;1;Obersiggenthal;AG;2665875;1260004
Herznach;5027;0;Herznach;AG;2645902;1258034
Herzogenbuchsee;3360;0;Herzogenbuchsee;BE;2620895;1227101
Hessigkofen;4577;0;Buchegg;SO;2601606;1220801
Hettenschwil;5317;0;Leuggern;AG;2657025;1269724
Hettiswil b. Hindelbank;3325;0;Krauchthal;BE;2608783;1208668
Hettlingen;8442;0;Hettlingen;ZH;2695611;1266677
Hildisrieden;6024;0;Hildisrieden;LU;2660275;1222430
Hilfikon;5613;0;Villmergen;AG;2661394;1242802
Hilterfingen;3652;0;Hilterfingen;BE;2617092;1176634
Himmelried;4204;0;Himmelried;SO;2611450;1252548
Hindelbank;3324;0;Hindelbank;BE;2607706;1210086
Hinteregg;8132;2;Egg;ZH;2694193;1240198
Hinterforst;9452;0;Altstätten;SG;2758354;1247622
Hinterfultigen;3089;0;Rüeggisberg;BE;2597140;1187553
Hinterkappelen;3032;0;Wohlen bei Bern;BE;2594969;1201925
Hintermoos;6260;3;Wikon;LU;2642363;1235620
Hinterrhein;7438;0;Hinterrhein;GR;2734893;1154928
Hinwil;8340;0;Hinwil;ZH;2706524;1239877
Hirschthal;5042;0;Hirschthal;AG;2646705;1241054
Hirzel;8816;0;Hirzel;ZH;2688233;1230096
Hittnau;8335;0;Hittnau;ZH;2704660;1246488
Hitzkirch;6285;0;Hitzkirch;LU;2662539;1230806
Hochdorf;6280;0;Hochdorf;LU;2664676;1225019
Hochfelden;8182;0;Hochfelden;ZH;2680816;1263972
Hochwald;4146;0;Hochwald;SO;2615694;1256404
Hofen SH;8242;1;Thayngen;SH;2692890;1293091
Hoffeld;9114;0;Neckertal;SG;2731039;1247149
Hofstatt;6154;0;Luthern;LU;2636178;1214969
Hofstetten SO;4114;0;Hofstetten-Flüh;SO;2605055;1258279
Hofstetten ZH;8354;0;Hofstetten (ZH);ZH;2706473;1258958
Hofstetten b. Brienz;3858;0;Hofstetten bei Brienz;BE;2648343;1178282
Hohenrain;6276;0;Hohenrain;LU;2666683;1225765
Hohentannen;9216;2;Hohentannen;TG;2734401;1263398
Hohtenn;3949;0;Steg-Hohtenn;VS;2624639;1129910
Holderbank AG;5113;0;Holderbank (AG);AG;2655228;1253605
Holderbank SO;4718;0;Holderbank (SO);SO;2623983;1242382
Holzhäusern ZG;6343;4;Risch;ZG;2675998;1223042
Holziken;5043;0;Holziken;AG;2645035;1241130
Homberg b. Thun;3622;0;Homberg;BE;2618724;1180664
Hombrechtikon;8634;0;Hombrechtikon;ZH;2700150;1234659
Homburg;8508;0;Homburg;TG;2718193;1277022
Honau;6038;2;Honau;LU;2673552;1220626
Hondrich;3702;0;Spiez;BE;2618367;1168947
Horboden;3755;0;Diemtigen;BE;2609614;1164357
Horgen;8810;0;Horgen;ZH;2688291;1234106
Horgenberg;8815;0;Horgen;ZH;2686699;1233626
Horn;9326;0;Horn;TG;2752268;1262203
Hornussen;5075;0;Hornussen;AG;2647146;1261382
Horrenbach;3623;2;Horrenbach-Buchen;BE;2623966;1180792
Horriwil;4557;0;Horriwil;SO;2613965;1225514
Horw;6048;0;Horw;LU;2666488;1207306
Hosenruck;9515;0;Wuppenau;TG;2727187;1261323
Hospental;6493;0;Hospental;UR;2686865;1163725
Hottwil;5277;0;Mettauertal;AG;2654644;1266827
Hubersdorf;4535;0;Hubersdorf;SO;2611367;1232662
Hugelshofen;8565;0;Kemmental;TG;2726135;1273221
Humlikon;8457;0;Humlikon;ZH;2692860;1270043
Hundwil;9064;0;Hundwil;AR;2742089;1247610
Hunzenschwil;5502;0;Hunzenschwil;AG;2651996;1248229
Hurden;8640;3;Freienbach;SZ;2703565;1230162
Huttwil;4950;0;Huttwil;BE;2631066;1218581
Huémoz;1884;3;Ollon;VD;2568283;1126742
Häfelfingen;4445;0;Häfelfingen;BL;2631940;1251749
Hägendorf;4614;0;Hägendorf;SO;2630085;1243082
Häggenschwil;9312;0;Häggenschwil;SG;2743275;1262175
Hägglingen;5607;0;Hägglingen;AG;2661904;1248934
Hämikon;6289;2;Hitzkirch;LU;2663093;1232157
Hämikon;6289;2;Hitzkirch;LU;2665190;1233045
Härkingen;4624;0;Härkingen;SO;2629130;1239578
Hätzingen;8775;2;Glarus Süd;GL;2721909;1202399
Häusernmoos im Emmental;3463;0;Affoltern im Emmental;BE;2623421;1214247
Häuslenen;8522;0;Aadorf;TG;2710211;1265266
Häutligen;3510;9;Häutligen;BE;2612816;1189620
Hérémence;1987;0;Hérémence;VS;2597172;1114345
Höchstetten;3429;2;Höchstetten;BE;2614617;1221582
Höfen b. Thun;3631;0;Stocken-Höfen;BE;2609564;1174672
Hölstein;4434;0;Hölstein;BL;2625426;1252973
Hörhausen;8507;0;Homburg;TG;2714789;1276917
Höri;8181;0;Höri;ZH;2680022;1262462
Hünenberg;6331;0;Hünenberg;ZG;2675249;1225037
Hünenberg See;6333;0;Hünenberg;ZG;2676700;1224749
Hünibach;3626;0;Hilterfingen;BE;2616411;1177347
Hüniken;4554;2;Hüniken;SO;2614943;1225808
Hünikon (Neftenbach);8412;2;Neftenbach;ZH;2692340;1267389
Hüntwangen;8194;0;Hüntwangen;ZH;2679285;1271945
Hüswil;6152;0;Zell (LU);LU;2635389;1219915
Hütten;8825;0;Hütten;ZH;2693136;1225536
Hüttikon;8115;0;Hüttikon;ZH;2671671;1255091
Hüttlingen;8553;4;Hüttlingen;TG;2716143;1271063
Hüttwilen;8536;0;Hüttwilen;TG;2708066;1274071
Ibach;6438;0;Schwyz;SZ;2691844;1207394
Ichertswil;4571;2;Lüterkofen-Ichertswil;SO;2604336;1223301
Icogne;1977;0;Icogne;VS;2599992;1126590
Iffwil;3305;0;Iffwil;BE;2603360;1212550
Igis;7206;0;Landquart;GR;2762894;1201541
Ilanz;7130;0;Ilanz/Glion;GR;2734612;1181657
Illgau;6434;0;Illgau;SZ;2697727;1204861
Illhart;8556;3;Wigoltingen;TG;2720106;1275364
Illighausen;8574;1;Lengwil;TG;2733186;1273993
Illnau;8308;0;Illnau-Effretikon;ZH;2696604;1251804
Im Fang;1656;1;Jaun;FR;2584493;1160777
Immensee;6405;0;Küssnacht (SZ);SZ;2677651;1216582
Indemini;6571;0;Gambarogno;TI;2707583;1105781
Inden;3953;1;Inden;VS;2613590;1132688
Inkwil;3375;0;Inkwil;BE;2617809;1227856
Innerberg;3044;2;Wohlen bei Bern;BE;2590264;1204845
Innereriz;3619;1;Eriz;BE;2629573;1181895
Innerferrera;7445;0;Ferrera;GR;2754861;1149888
Innerferrera;7445;0;Ferrera;GR;2753305;1154276
Innerthal;8858;0;Innerthal;SZ;2712379;1218305
Innertkirchen;3862;0;Innertkirchen;BE;2660382;1172471
Ins;3232;0;Ins;BE;2574395;1206504
Insone;6951;8;Lugano;TI;2723060;1105086
Interlaken;3800;0;Gündlischwand;BE;2636099;1166897
Interlaken;3800;0;Interlaken;BE;2632453;1170717
Intragna;6655;0;Centovalli;TI;2697409;1114770
Intschi;6476;0;Gurtnellen;UR;2692497;1179649
Inwil;6034;0;Inwil;LU;2669177;1219424
Ipsach;2563;0;Ipsach;BE;2584123;1218389
Iragna;6707;0;Iragna;TI;2717677;1132094
Iseltwald;3807;0;Iseltwald;BE;2640237;1173225
Isenfluh;3822;2;Lauterbrunnen;BE;2635002;1163323
Isenthal;6461;0;Isenthal;UR;2685500;1196245
Iseo;6993;0;Bioggio;TI;2711750;1095814
Islikon;8546;0;Gachnang;TG;2705755;1267339
Islisberg;8905;2;Islisberg;AG;2675809;1241724
Isole di Brissago;6614;2;Brissago;TI;2700202;1109802
Isone;6810;0;Isone;TI;2719582;1109807
Istighofen;8575;1;Bürglen (TG);TG;2728529;1267153
Isérables;1914;0;Isérables;VS;2585322;1112368
Itingen;4452;0;Itingen;BL;2625918;1257257
Ittenthal;5083;0;Kaisten;AG;2646957;1263315
Ittigen;3063;0;Ittigen;BE;2603123;1203222
Jaberg;3629;3;Jaberg;BE;2609795;1185335
Jakobsbad;9108;3;Gonten;AI;2742701;1242685
Jaun;1656;0;Jaun;FR;2587432;1162250
Jegenstorf;3303;0;Jegenstorf;BE;2605195;1211024
Jenaz;7233;0;Jenaz;GR;2773261;1199874
Jenins;7307;0;Jenins;GR;2761019;1207729
Jens;2565;0;Jens;BE;2586710;1216161
Jeuss;1793;0;Jeuss;FR;2579079;1194727
Jona;8645;0;Rapperswil-Jona;SG;2706461;1231730
Jonen;8916;0;Jonen;AG;2671851;1239057
Jongny;1805;0;Jongny;VD;2554190;1147573
Jonschwil;9243;0;Jonschwil;SG;2724696;1253685
Jouxtens-Mézery;1008;2;Jouxtens-Mézery;VD;2535508;1156071
Juf;7448;0;Avers;GR;2764518;1146019
Jungfraujoch;3801;33;Fieschertal;VS;2641777;1155270
Juriens;1326;0;Juriens;VD;2524294;1171598
Jussy;1254;0;Jussy;GE;2509546;1121116
Kaiseraugst;4303;0;Kaiseraugst;AG;2621556;1265470
Kaiserstuhl AG;5466;0;Kaiserstuhl;AG;2673861;1268967
Kaisten;5082;0;Kaisten;AG;2645951;1265726
Kallern;5625;0;Kallern;AG;2664608;1241183
Kallnach;3283;0;Kallnach;BE;2584135;1207439
Kalpetran;3922;1;Embd;VS;2630867;1118225
Kaltacker;3413;0;Heimiswil;BE;2617997;1214000
Kaltbach;6212;2;Mauensee;LU;2647007;1226056
Kaltbrunn;8722;0;Kaltbrunn;SG;2719687;1230495
Kaltenbach;8259;0;Wagenhausen;TG;2705006;1278854
Kammersrohr;4535;2;Kammersrohr;SO;2611701;1233572
Kandergrund;3716;0;Kandergrund;BE;2616863;1155307
Kandersteg;3718;0;Kandersteg;BE;2617662;1149704
Kappel SO;4616;0;Kappel (SO);SO;2631437;1241375
Kappel am Albis;8926;0;Kappel am Albis;ZH;2682007;1231212
Kappelen;3273;0;Kappelen;BE;2587259;1212376
Kastanienbaum;6047;0;Horw;LU;2668066;1207319
Kaufdorf;3126;0;Kaufdorf;BE;2604435;1187687
Kefikon TG;8546;2;Gachnang;TG;2705214;1267446
Kefikon ZH;8543;2;Wiesendangen;ZH;2704615;1267435
Kehrsatz;3122;0;Kehrsatz;BE;2602743;1195447
Kehrsiten;6365;0;Stansstad;NW;2670823;1205975
Kemptthal;8310;0;Winterthur;ZH;2696210;1257824
Kernenried;3309;0;Kernenried;BE;2608449;1213204
Kerns;6064;0;Kerns;OW;2664125;1194883
Kerzers;3210;0;Kerzers;FR;2581567;1202815
Kesswil;8593;0;Kesswil;TG;2741255;1273102
Kestenholz;4703;0;Kestenholz;SO;2623869;1236192
Kienberg;4468;0;Kienberg;SO;2639617;1254302
Kiental;3723;0;Reichenbach im Kandertal;BE;2621898;1159832
Kiesen;3629;0;Kiesen;BE;2610830;1185111
Kilchberg BL;4496;0;Kilchberg (BL);BL;2634358;1252771
Kilchberg ZH;8802;0;Kilchberg (ZH);ZH;2683814;1242018
Killwangen;8956;0;Killwangen;AG;2668658;1253943
Kippel;3917;0;Kippel;VS;2625527;1138496
Kirchberg BE;3422;0;Kirchberg (BE);BE;2611759;1214671
Kirchberg SG;9533;0;Kirchberg (SG);SG;2720471;1252183
Kirchdorf AG;5416;0;Obersiggenthal;AG;2663408;1261246
Kirchdorf BE;3116;0;Kirchdorf (BE);BE;2608245;1185262
Kirchenthurnen;3128;0;Kirchenthurnen;BE;2605164;1185985
Kirchleerau;5054;1;Kirchleerau;AG;2648074;1236453
Kirchlindach;3038;0;Kirchlindach;BE;2598360;1205212
Klarsreuti;8585;10;Birwinken;TG;2733471;1272290
Kleinandelfingen;8451;0;Kleinandelfingen;ZH;2693477;1273089
Kleinbösingen;3213;2;Kleinbösingen;FR;2582205;1193708
Kleindietwil;4936;0;Madiswil;BE;2626735;1221756
Kleindöttingen;5314;0;Böttstein;AG;2660161;1269157
Kleine Scheidegg;3823;1;Lauterbrunnen;BE;2640058;1159449
Kleingurmels;3212;2;Gurmels;FR;2580754;1192717
Kleinlützel;4245;0;Kleinlützel;SO;2598441;1252606
Kleinwangen;6277;0;Hohenrain;LU;2665251;1227765
Klingnau;5313;0;Klingnau;AG;2661076;1270927
Kloster Fahr;8109;0;Würenlos;AG;2675508;1251309
Klosters;7250;0;Klosters-Serneus;GR;2786260;1193926
Klosters Dorf;7252;0;Klosters-Serneus;GR;2785684;1195383
Kloten;8302;0;Kloten;ZH;2687424;1256439
Klöntal;8750;3;Glarus;GL;2714304;1209374
Knoblisbühl;8881;2;Walenstadt;SG;2740041;1222693
Knonau;8934;0;Knonau;ZH;2677117;1230768
Knutwil;6213;0;Knutwil;LU;2648050;1228046
Koblenz;5322;0;Koblenz;AG;2660078;1273116
Kollbrunn;8483;0;Zell (ZH);ZH;2701413;1257151
Konolfingen;3510;0;Konolfingen;BE;2613359;1192153
Koppigen;3425;0;Koppigen;BE;2611904;1220260
Kottwil;6217;0;Ettiswil;LU;2645985;1223711
Kradolf;9214;2;Kradolf-Schönenberg;TG;2732306;1265401
Krattigen;3704;0;Krattigen;BE;2622248;1167597
Krauchthal;3326;0;Krauchthal;BE;2609930;1206189
Kreuzlingen;8280;0;Kreuzlingen;TG;2730330;1278554
Kriechenwil;3179;0;Kriechenwil;BE;2583860;1195541
Kriegstetten;4566;0;Kriegstetten;SO;2611825;1224828
Kriens;6010;2;Alpnach;OW;2662090;1203455
Kriens;6010;0;Kriens;LU;2663882;1209448
Kriessern;9451;0;Oberriet (SG);SG;2763763;1248329
Krinau;9622;0;Wattwil;SG;2721802;1241791
Krummenau;9643;0;Nesslau;SG;2731290;1234540
Kräiligen;3315;1;Bätterkinden;BE;2607351;1221923
Kulmerau;6234;1;Triengen;LU;2649269;1233817
Kyburg;8314;0;Kyburg;ZH;2698558;1256889
Kyburg-Buchegg;4586;0;Buchegg;SO;2605632;1221157
Kägiswil;6056;0;Sarnen;OW;2662454;1196816
Känerkinden;4447;0;Känerkinden;BL;2629819;1251619
Kölliken;5742;0;Kölliken;AG;2644647;1243183
Köniz;3098;0;Köniz;BE;2598118;1196612
Küblis;7240;0;Küblis;GR;2778318;1198793
Kümmertshausen;8586;3;Erlen;TG;2735884;1269856
Künten;5444;0;Künten;AG;2667586;1248832
Küsnacht ZH;8700;0;Küsnacht (ZH);ZH;2687036;1241604
Küssnacht am Rigi;6403;0;Küssnacht (SZ);SZ;2676050;1214860
Küttigen;5024;0;Küttigen;AG;2645608;1251550
Küttigkofen;4581;0;Buchegg;SO;2605669;1222277
L'Abbaye;1344;0;L'Abbaye;VD;2514337;1167152
L'Abergement;1355;0;L'Abergement;VD;2527476;1178573
L'Auberson;1454;0;Sainte-Croix;VD;2525547;1185671
L'Etivaz;1660;3;Château-d'Oex;VD;2577645;1141511
L'Isle;1148;0;L'Isle;VD;2521454;1163474
La Brévine;2406;0;La Brévine;NE;2536772;1203531
La Chaux (Cossonay);1308;0;La Chaux (Cossonay);VD;2526027;1163428
La Chaux-de-Fonds;2300;0;La Chaux-de-Fonds;NE;2554034;1217192
